,smiles
58,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C
59,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC
60,C([C@@H](C(=O)[O-])O)[NH3+]
61,CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)N2CCCC2C(=O)NC(CC3=CC=CC=C3)C(=O)O)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(C(C)C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)N
62,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O
63,CC(C)(C)C1CCC(CC1)CC2=C(C3=CC=CC=C3C(=O)C2=O)O
64,[2H]
65,CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)O
66,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)Cl)C
67,CC(C)[C@H](C(=O)NS(=O)(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O)N
68,C/C(=C\CCC1[C@]2(CCCC(C2CC[C@@]1(C)O)(C)C)C)/CC[C@@H]3C(=C)CCCC3(C)C
69,CC1=CC(=NN1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
70,F[Cu]
71,C#C
72,CC(=O)O[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CCC34)C)C#C.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O
73,C[C@H](CCC(=O)NCC(=O)O)C1CCC2[C@@]1(CCC3C2[C@@H](CC4[C@@]3(CC[C@H](C4)O)C)O)C
74,CCO
75,C1=CC=C2C=C(C=CC2=C1)NC(=O)[C@H](C3=CSC4=C3C=C(C=C4)Cl)P(=O)(O)O
76,CC(C)(C)C1=NC2=C(N1)C3=C(C=C(C=C3)F)C4=C2C=CNC4=O
77,CC(C)C(=O)OC[C@@H]1[C@H]([C@@H]([C@](O1)(COC(=O)C)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COC(=O)C)OC(=O)C(C)C)OC(=O)C(C)C)OC(=O)C(C)C)OC(=O)C(C)C)OC(=O)C(C)C
78,C[C@H]1CC[C@]2(C(C1(C)C)CCC3=C2CC[C@]4([C@]3(CC[C@@H]4[C@H](C)CCC(=C)C(C)C)C)C)C
79,[2H]C1=C(C(=C(C(=C1[2H])[2H])[C]([2H])[2H])[2H])[2H]
80,C1C[C@@H]2N(C1)C(=O)C3=CC4=C(C=C3O2)OCCO4
81,CC1=C(C(=CC=C1)O)O
82,C1=NC2=C(N1)C(=NC=N2)N
83,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC(=O)[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@H]([C@]5(C)C(=O)O)OC(=O)C)C)C)[C@@H]2[C@H]1C)C)C
84,C1CCCC(CC1)NCC(=O)N2CCC[C@H]2C(=O)NCC3=CC=C(C=C3)C(=N)N
85,CCCCCCCCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
86,C1C[C@H](NC1)CN
87,CC(C)NCC(C1=CC(=C(C=C1)O)OC)O
88,CC(C)[C@@H](C(=O)OC)NC(=O)CNC(=O)[C@H](CS)NCC1=CC=C(C=C1)C2=CC=CC=C2
89,C1=CC2=C(/C(=C/3\C4=C(C=C(C=C4)Br)NC3=O)/N=C2C=C1)NO
90,CC[C@H](C(=O)O)NCC1=C(C(=NC=C1COP(=O)(O)O)C)O
91,C1=CC=C(C=C1)C(CNC2=C(C(=C(C=C2)Cl)CC(=O)NCCON=C(N)N)F)(F)F
92,C=O.C(=O)(N)N
93,C[C@@H]([C@@H](CCC1=C(C(=CC=C1)Cl)Cl)N2C=C(N=C2)C(=O)N)O
94,C([C@@H](C(=O)O)N)SS
95,C1=CC2=C(NN=C2C(=C1)[N+](=O)[O-])Br
96,CCCCCCCCCCCC
97,[127IH]
98,C(CO)C(C(=O)O)O
99,C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O
100,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@@H]3[C@H]2CCC4=CC(=O)CC[C@@]34C)C
101,C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H]([C@]2(C)CO)CC[C@@]4([C@@H]3C=C[C@@]56[C@]4(C[C@H]([C@@]7([C@H]5CC(CC7)(C)C)CO6)O)C)C)C)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O
102,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
103,CC(C(=O)O)NC(=O)CN
104,C[C@H]1CC[C@@H]2[C@H]([C@H]3[C@@H](N2C1)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)C)C
105,C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@@H]([C@@H]([C@H]8O)O)O[C@@H]9[C@H](O[C@H](O2)[C@@H]([C@H]9O)O)CO)CO)CO)CO)CO)CO)CO)O)O)O
106,CCCCCCCCCCCC/C=C/[C@H]([C@H](CO)N)O
107,C1CCC2=NC3=CC=CC=C3C(=C2C1)N
108,CC(C)CN1C=NC2=C1C(=O)N(C(=O)N2C)C
109,CCC(C)N
110,CC(C(C1=CC=CC=C1)O)N(C)C
111,CC1=C(C(=C(C2=C1COC2=O)O)C/C=C(\C)/CCC(=O)O)OC
112,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N([C@@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N(C(C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)C)CC(C)C)C)C
113,CCCCCC1=CC2=C([C@@H]3C=C(CC[C@H]3C(O2)(C)C)C)C(=C1)O
114,C[C@H](CCC(=O)NCCS(=O)(=O)O)C1CCC2[C@@]1(CCC3C2[C@@H](CC4[C@@]3(CC[C@H](C4)O)C)O)C
115,O.[Ag].[Ag]
116,C[C@]12CCCC=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C#C)O)C.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O
117,C[C@@]1(C(=O)N(C(=O)O1)NC2=CC=CC=C2)C3=CC=C(C=C3)OC4=CC=CC=C4
118,C1=CC\2=C(C=C1O)ON/C2=C\3/C=CC(=O)C=C3O
119,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
120,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O
121,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCCC5(C)C)C)C)C2C1)C)C)C
122,C(C1C2C(C(C(O1)OC3C(OC(C(C3OS(=O)(=O)O)OS(=O)(=O)O)OC4C(OC(C(C4OS(=O)(=O)O)OS(=O)(=O)O)OC5C(OC(C(C5OS(=O)(=O)O)OS(=O)(=O)O)OC6C(OC(C(C6OS(=O)(=O)O)OS(=O)(=O)O)OC7C(OC(C(C7OS(=O)(=O)O)OS(=O)(=O)O)OC8C(OC(C(C8OS(=O)(=O)O)OS(=O)(=O)O)OC9C(OC(O2)C(C9OS(=O)(=O)O)OS(=O)(=O)O)COS(=O)(=O)O)COS(=O)(=O)O)COS(=O)(=O)O)COS(=O)(=O)O)COS(=O)(=O)O)COS(=O)(=O)O)COS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O
123,CCC[C@@H](C(=O)C(=O)NC1CC1)NC(=O)[C@@H]2[C@H]3CCC[C@H]3CN2C(=O)[C@H](C(C)(C)C)NC(=O)[C@H](C4CCCCC4)NC(=O)C5=NC=CN=C5
124,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C
125,C=C1CC[C@@H]2[C@@H]([C@@H]3[C@H]1CCC3=C)OC(=O)C2=C
126,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O
127,C(CCN)CCN
128,C1C[C@H]([C@H](CNC1)NC(=O)C2=CC=C(C=C2)O)OC(=O)C3=CC(=C(C(=C3)O)C(=O)C4=C(C=CC=C4O)C(=O)O)O
129,C1[C@@H](N(CC2=CC=CC=C21)S(=O)(=O)C3=CC=C(C=C3)C4=CC=CC=C4)C(=O)O
130,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)Cl)NC2=O)C
131,CC(=O)[C@]1(CCC2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)O
132,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C
133,CCCCCCCC(=O)O
134,CC\1CCC(C/C1=C/C=C/2\CCCC3(C2CCC3C(C)/C=C/C(C)C(C)C)C)O
135,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(CO)O)O)CO)O)O)O)O
136,[125Sb]
137,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C)F
138,[45K]
139,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)O)O
140,C/C(=C\C=C\C=C(/C)\C=C\C=C(\C)/C=C/C(=O)OC)/C=C/C=C(\C)/C=C/C(=O)O
141,C1=CC(=CC=C1/C=C/C(=O)O)C(=O)O
142,C([C@H]([C@H]([C@H]([C@@H](C=O)O)O)O)O)O
143,CCSC(=NC1=CC=CC=C1)N
144,[15NH3]
145,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC(=CC=C4)SC
146,COCCOCCOCCOCCO
147,C[C@H](/C=C/[C@@H](C)C(C)C)C1CCC2[C@@]1(CCC3C2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
148,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)OC)O)O)O
149,C[C@H]([C@H](CCC(=O)O)N)O
150,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)CO
151,CC(C)C[C@H](CC(=O)O)C(=O)N[C@H]1CC2=CN(CCCCCCNC1=O)C3=CC=CC=C23
152,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C(=O)O)O)O)O)O)O)O
153,[121Sn]
154,C1=CN=C(N=C1)NC2=C3C=C(C=CC3=CC(=C2)C(=O)NC4=CC=C(C=C4)CN)C(=N)N
155,C([C@@H](C(=O)O)N)SO
156,C([C@H](C(=O)O)N)C(=O)O
157,CC(CCC(C)O)O
158,[Na+].[Na+].[S-2]
159,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C)CCC(=O)O)C)CCC(=O)O)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2]
160,CCCCCC(/C=C/C1C(CC(C1C/C=C/CCCC(=O)O)O)O)O
161,CC1=CC=C(C=C1)C2=NN(C3=C2C(=NC=N3)N)C(C)(C)C
162,CC(C)[C@H](CO)NC1=NC2=C(C(=N1)NC3=CC(=CC=C3)Cl)N=CN2C(C)C
163,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
164,C1C(C[C@@H](C([C@H]1OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)(O)C(=O)O
165,OP(=O)(O)OP(=O)(O)OP(=O)(O)O
166,C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H](C6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@H](O2)[C@@H]([C@H]8O)O)CO)CO)CO)CO)CO)CO)O)O)O
167,CS(=O)C
168,C1CCN(CC1)C2(CCN(CC2)CCCN3C4=CC=CC=C4CCC5=CC=CC=C53)C(=O)N
169,C(C(=O)O)C(=O)O
170,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4CCCC4)CCC5=CC(=O)CC[C@]35C
171,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O
172,C1CNCC2=C1C=CC(=C2)S(=O)(=O)NC3=CC=C(C=C3)Cl
173,[17NH3]
174,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O
175,CC1(C(=O)N(C(=O)O1)C)C
176,CCN1C2=NC(=NC=C2N=C1NC3=CC=CC=C3Cl)NC4=C(C=CC=C4F)F
177,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(CP(=O)(O)OCC4C(C(C(O4)O)O)O)O)O)O
178,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
179,CCCCC1=C2C(=NC=CN2)NC1=C3C=CC(=O)C=C3
180,C[C@@H](CCC[C@@H](C)CCCC(C)C)CCC[C@@H](C)CC(=O)[O-]
181,C1[C@H]([C@@H]([C@H](C([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)N)OC3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N
182,CCCCCCC(C)(C)C1=CC(=C(C=C1)C2CC(CC[C@H]2CCCO)O)O
183,C1[C@@H](CN[C@@H]1C(=O)O)O
184,COC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O
185,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl
186,C[C@H]1CNCCN1S(=O)(=O)C2=CC=CC3=C2C=CN=C3
187,S.[As]
188,[Cl]
189,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl
190,COC1C(C(C(C(O1)CO)O)O)O
191,C1=CC(=CC=C1C(=O)NCC2=CC(=C(C(=C2)F)F)F)S(=O)(=O)N
192,COC(=O)C(C1CCCCN1)C2=CC=CC=C2
193,CC1[C@@H](C(C([C@H](O1)O[C@H]2C[C@H]([C@@]3(C4C(CC[C@@]3(C2)O)[C@]5(CCC([C@]5(CC4O)C)C6CC(=O)OC6)O)CO)O)O)O)O
194,C1CCC2=NC3=CC=CC=C3C(=C2C1)NCCCCCCCCNC4=CC=NC5=CC=CC=C54
195,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1
196,C[C@H]1CCC2([C@@]3(CC4(C5(C([C@H](C3(C5(C2([C@@H]1O)O4)O)O)OC(=O)C6=CC=CN6)(C(C)C)O)C)O)C)O
197,[56Fe]
198,C(CSSC[C@@H](C(=O)O)N)O
199,O[P+](=O)O[P+](=O)O
200,[F-].[F-].[Ca+2]
201,[O-]P(=O)([O-])F.[Na+].[Na+]
202,[Na+].[Na+].[Cl-].[Cl-].[Cl-].[Cl-].[Pt+2]
203,C([C@@H](C(=O)O)N)OP(=O)(O)O
204,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCCC(=O)O)O
205,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O)C)C
206,CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4
207,C1[C@H]([C@H](C2=CC=CC=C21)NC(=O)[C@H](CC3=CC(=CC=C3)O)CC(=O)NO)O
208,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4
209,CCCCC(=O)OCC(=O)[C@H]1[C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C
210,CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CS)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N)NC(=O)CC3(CCCCC3)S
211,C1OC2=C(O1)C=C(C=C2)CCN
212,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@H]3[C@H](C[C@@]2([C@H]1C(=O)CO)C)O)C)F
213,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)OP(=O)(O)O
214,[Ho]
215,C(CC(CC(=O)O)N)CN
216,C1=CC(=CC=C1[C@@H](CN)O)O
217,[Li+].CCCC(=O)O.[OH-]
218,CCCCC[C@@H](/C=C/[C@H]1[C@H]2C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)OO2)OO
219,C1=CC(=CC=C1[N+](=O)[O-])O
220,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
221,[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Si+4].[W].[W].[W].[W].[W].[W].[W].[W].[W]
222,CCNC(=O)[C@@H]1[C@@H]([C@@H](C(O1)N2C=NC3=C2N=C(N=C3N)NCCC4=CC=C(C=C4)CCC(=O)O)O)O
223,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl
224,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O
225,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)COC(=O)CCC(=O)O)O)C)O
226,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CC=C3)C(=O)OC
227,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNC/C=C/C3=CC=C(C=C3)Br
228,C1CCC2CCCCC2C1
229,CCC\1=C(C(=O)N/C1=C/C2=C(C(=C(N2)/C=C\3/C(=C(/C(=C/C4=NC(=O)C(=C4CC)C)/N3)CCC(=O)O)C)C)CCC(=O)O)C
230,C1CCC2=C(CC1)C(=O)OC3=C2C=CC(=C3)OS(=O)(=O)N
231,C=O
232,C[C@]1([C@H]2CC3(C1CC[C@H]3C(=O)O)[C@H](C=C2C(=O)O)O)CO.C(CCCC(C(CCCCCO)O)O)CCCC(=O)O
233,C=CCC(=O)O
234,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F
235,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-]
236,C1[C@H]([C@H](C(O1)(CO)O)O)O
237,C([C@H]([C@H]([C@@H]([C@H](C=O)N)O)O)O)O.Cl
238,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
239,[Si]
240,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl
241,CCCCCCCCCC[N+](C)(C)[O-]
242,COC1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC)CO)CO
